year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,42321.33,1349550.06,279265.26,24363.68,505819.63,302988.35
2018,44779.79,1429453.83,300341.31,25496.26,528568.73,320056.65
2019,48103.29,1536824.51,321521.93,27001.49,559137.84,338566.72
2020,49762.71,1589261.36,331865.96,27708.65,574066.94,347606.53
2021,50838.16,1624219.26,338761.97,28203.55,584019.68,353633.06
2022,51513.81,1649189.18,343687.7,28626.82,591128.77,357937.73
2023,51982.65,1669165.13,354119.28,29019.06,596816.05,365267.29
2024,52349.33,1684147.08,363676.08,29301.56,601081.5,371791.45
2025,52816.88,1701626.03,367252.85,29600.98,606057.87,374869.52
2026,53480.19,1724098.97,371851.56,29939.08,612456.06,378827.04
2027,53997.91,1741577.91,375428.33,30200.61,617432.42,381905.11
2028,54489.87,1756559.87,378494.13,30388.8,621697.88,384543.46
2029,55100.58,1776535.81,382581.87,30673.46,627385.16,388061.25
2030,55446.27,1789020.78,385136.71,30878.1,630939.71,390259.87
2031,56030.34,1811493.71,396750.67,31274.54,637337.89,398367.05
2032,56692.04,1833966.64,401432.15,31613.19,643736.08,402366.22
2033,57340.46,1856439.58,406113.64,31961.52,650134.26,406365.4
2034,58093.78,1881409.51,411315.29,32324.22,657243.36,410808.93
2035,58556.29,1896391.46,414436.28,32534.06,661508.82,413475.05
2036,59286.93,1921361.39,427057.86,32913.3,668617.91,422271.89
2037,59672.16,1933846.35,429704.67,33088.29,672172.46,424516.8
2038,60440.16,1958816.28,434998.3,33440.06,679281.55,429006.62
2039,61009.47,1978792.22,439233.19,33754.34,684968.83,432598.47
2040,61809.56,2003762.15,444526.82,34082.68,692077.93,437088.28
