year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.45
2001,,,2.45
2004,,2.08,2.55
2005,,2.34,3.55
2008,,3.67,7.75
2009,,4.39,7.75
2010,,3.16,7.0
2011,,3.37,5.49
2012,,3.98,6.68
2013,,4.01,6.68
2014,,,6.58
2016,,2.24,4.97
2017,,2.67,5.4
2018,,2.99,5.72
2019,,3.42,6.15
2020,,3.63,6.36
2021,,3.77,6.5
2022,,3.87,6.6
2023,,3.95,6.68
2024,,4.01,6.74
2025,,4.08,6.81
2026,,4.17,6.9
2027,,4.24,6.97
2028,,4.3,7.03
2029,,4.38,7.11
2030,,4.43,7.16
2031,,4.52,7.25
2032,,4.61,7.34
2033,,4.7,7.43
2034,,4.8,7.53
2035,,4.86,7.59
2036,,4.96,7.69
2037,,5.01,7.74
2038,,5.11,7.84
2039,,5.19,7.92
2040,,5.29,8.02
