year,Base case cost,Kivalina wind-intertie feasibility analysis & conceptual design,Modeled wind power
2019,339818.876459,1889625.89707,502143.522058
2020,360404.912924,1865465.15392,511883.110667
2021,374595.662062,1839037.81969,517286.308234
2022,385427.535324,1811941.37923,520554.836486
2023,395223.35661,1785533.44652,523454.204438
2024,402154.798905,1757967.45956,524153.453701
2025,410119.207391,1731703.15044,525715.429285
2026,419487.647594,1706620.92576,528231.377056
2027,426856.49977,1681193.25746,529404.467302
2028,432565.200157,1655269.72904,529294.432938
2029,440612.924811,1631413.51436,531066.182304
2030,446326.253874,1607301.72093,531430.564163
2031,456439.910912,1586340.74593,535178.901919
2032,465883.952823,1565338.63736,538348.3166
2033,475704.460381,1545326.74608,541982.763402
2034,485825.831878,1525741.81689,545727.254652
2035,491898.654777,1504586.7326,546616.90156
2036,502402.663489,1486541.36024,550910.977506
2037,507467.206468,1465981.0692,551232.689355
2038,517990.501331,1449058.30766,555705.264995
