year,Base case diesel consumed,Modeled residential ashp
2017,48180.6745517,-202946.063645
2018,48180.6745517,-202946.063645
2019,47859.8927529,-203266.845444
2020,47859.8927529,-203266.845444
2021,47539.1109541,-203587.627243
2022,47218.3291553,-203908.409041
2023,46897.5473565,-204229.19084
2024,46576.7655578,-204549.972639
2025,46255.983759,-204870.754438
2026,45614.4201614,-205512.318035
2027,45293.6383626,-205833.099834
2028,44972.8565638,-206153.881633
2029,44331.2929662,-206795.445231
2030,43689.7293687,-207437.008828
2031,43048.1657711,-208078.572426
