year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,299893.704113,221921.341044
2018,299893.704113,221921.341044
2019,299893.704113,221921.341044
2020,299893.704113,221921.341044
2021,299893.704113,221921.341044
2022,299893.704113,221921.341044
2023,299893.704113,221921.341044
2024,299893.704113,221921.341044
2025,299893.704113,221921.341044
2026,299893.704113,221921.341044
2027,299893.704113,221921.341044
2028,299893.704113,221921.341044
2029,299893.704113,221921.341044
2030,299893.704113,221921.341044
2031,299893.704113,221921.341044
