year,Base case cost,Modeled non-residential energy efficiency
2017,501717.791574,456299.266163
2018,515938.825977,469268.622747
2019,535664.776923,487772.23202
2020,545298.380873,496212.142944
2021,551720.783506,501468.829712
2022,556766.957004,505376.60881
2023,560436.901366,507934.839944
2024,563189.359638,509601.640707
2025,566859.304,512211.372664
2026,570987.991407,515304.696436
2027,574657.935769,517963.543485
2028,577410.39404,519728.601983
2029,581539.081448,522893.031869
2030,583832.796674,524245.089307
2031,588420.227126,527912.93212
