year,Base case cost,Modeled residential energy efficiency
2017,724522.45659,747347.125867
2018,732802.19706,752131.708457
2019,744286.998357,759249.267483
2020,749895.854805,762166.844595
2021,753635.092436,763765.715064
2022,756573.064861,764813.772916
2023,739317.764417,745918.411287
2024,740861.637433,745996.529699
2025,742920.134787,746463.161637
2026,745235.944311,747135.398357
2027,747294.441666,747647.993435
2028,748838.314682,747818.063912
2029,751154.124206,748556.843525
2030,732550.08951,728696.774284
2031,735025.448873,729561.945447
