year,Base case cost,Modeled water and wastewater efficiency
2017,53698.0743662,43317.9949081
2018,55443.858865,44346.9533606
2019,57855.2520569,45810.4789801
2020,59029.6416747,46472.2423491
2021,59813.688726,46882.8315011
2022,60426.4321029,47184.2026502
2023,60871.0138743,47378.5502543
2024,61201.1335319,47500.568296
2025,61642.9223397,47697.3013259
2026,62139.2945406,47931.533083
2027,62581.1231202,48132.4764259
2028,62911.408807,48262.9727726
2029,63395.014219,48494.169033
2030,63658.7177986,48584.6318606
2031,64209.3990671,48863.929471
