year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,11682.98931,7593.94305149
2018,11814.8447606,7679.64909439
2019,11909.4621806,7741.15041738
2020,12010.0664049,7806.54316315
2021,12125.2273629,7881.39778589
2022,12216.1576888,7940.50249772
2023,12302.7369198,7996.77899787
2024,12373.3207485,8042.65848655
2025,12451.7457254,8093.63472148
2026,12542.2846687,8152.48503463
2027,12657.8936923,8227.6309
2028,12784.4965184,8309.92273698
2029,12733.085039,8276.50527538
2030,12724.3882476,8270.85236094
2031,12765.9719748,8297.8817836
