year,annotation,Average Load
2003,,23157.0
2004,,23475.0
2005,,23708.0
2006,,24843.0
2007,,25502.0
2008,,26082.0
2009,,26638.0
2010,,26315.0
2011,,28443.0
2012,,29355.0
2013,,29331.0
2014,,28827.0
2015,start of forecast,30338.0
2016,,31075.0
2017,,31828.0
2018,,32496.0
2019,,32975.0
2020,,33485.0
2021,,34068.0
2022,,34528.0
2023,,34967.0
2024,,35325.0
2025,,35722.0
2026,,36180.0
2027,,36766.0
2028,,37407.0
2029,,37147.0
2030,,37103.0
2031,,37314.0
2032,,38225.0
2033,,39369.0
2034,,40520.0
2035,,41485.0
2036,,42133.0
2037,,42504.0
2038,,43001.0
2039,,43879.0
2040,,45052.0
