year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,1338049.0,1168718.27575
2018,1354524.0,1185193.27575
2019,1365761.0,1196430.27575
2020,1378491.0,1209160.27575
2021,1392720.0,1223389.27575
2022,1403954.0,1234623.27575
2023,1414441.0,1245110.27575
2024,1423426.0,1254095.27575
2025,1433162.0,1263831.27575
2026,1444395.0,1275064.27575
2027,1458625.0,1289294.27575
2028,1474352.0,1305021.27575
2029,1467615.0,1298284.27575
2030,1466863.0,1297532.27575
2031,1471362.0,1302031.27575
2032,1493828.0,1324497.27575
2033,1521540.0,1352209.27575
2034,1549996.0,1380665.27575
2035,1573215.0,1403884.27575
2036,1588943.0,1419612.27575
