year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,4594862.46,11682.99,649809.19,676556.9
2018,5385401.05,11814.84,649809.19,692899.96
2019,6152183.83,11909.46,649809.19,704042.95
2020,6753733.15,12010.07,649809.19,716671.67
2021,7514106.59,12125.23,649809.19,730786.13
2022,8140514.84,12216.16,649809.19,741929.12
2023,8699622.01,12302.74,649809.19,752329.24
2024,9169454.83,12373.32,649809.19,761243.64
2025,9692919.11,12451.75,649809.19,770900.9
2026,10289912.28,12542.28,649809.19,782043.89
2027,11057103.29,12657.89,649809.19,796158.34
2028,11896755.75,12784.5,649809.19,811758.53
2029,11555400.74,12733.09,649809.19,805072.74
2030,11498015.3,12724.39,649809.19,804329.87
2031,11773653.25,12765.97,649809.19,808787.07
2032,12966424.74,12945.93,649809.19,831073.05
2033,14462828.16,13171.69,649809.19,858559.1
2034,15968730.22,13398.88,649809.19,886788.01
2035,17231465.73,13589.4,649809.19,909816.86
2036,18080224.38,13717.44,649809.19,925417.05
2037,18565854.36,13790.7,649809.19,934331.44
2038,19215067.48,13888.65,649809.19,946217.3
2039,20365131.92,14062.16,649809.19,967760.41
2040,21899040.71,14293.58,649809.19,995989.33
