year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,6136.55214751,4541.04858916
2018,6136.55214751,4541.04858916
2019,6136.55214751,4541.04858916
2020,6136.55214751,4541.04858916
2021,6136.55214751,4541.04858916
2022,6136.55214751,4541.04858916
2023,6136.55214751,4541.04858916
2024,6136.55214751,4541.04858916
2025,6136.55214751,4541.04858916
2026,6136.55214751,4541.04858916
2027,6136.55214751,4541.04858916
2028,6136.55214751,4541.04858916
2029,6136.55214751,4541.04858916
2030,6136.55214751,4541.04858916
2031,6136.55214751,4541.04858916
