year,Base case diesel consumed,Modeled non-residential ashp
2017,846.844196357,-994.121449738
2018,846.844196357,-994.121449738
2019,846.844196357,-994.121449738
2020,846.844196357,-994.121449738
2021,846.844196357,-994.121449738
2022,846.844196357,-994.121449738
2023,846.844196357,-994.121449738
2024,846.844196357,-994.121449738
2025,846.844196357,-994.121449738
2026,846.844196357,-994.121449738
2027,846.844196357,-994.121449738
2028,846.844196357,-994.121449738
2029,846.844196357,-994.121449738
2030,846.844196357,-994.121449738
2031,846.844196357,-994.121449738
