year,Base case cost,Modeled residential energy efficiency
2017,194650.84749,186755.683107
2018,198884.400431,187622.135281
2019,215568.144572,199958.49542
2020,214591.173967,196442.737108
2021,219770.326083,199795.556944
2022,214117.035631,192529.9541
2023,216590.715724,193804.22739
2024,208863.353338,184891.560748
2025,211221.137466,186077.812673
2026,203893.383239,177392.743273
2027,206508.91943,178763.714464
2028,198028.233272,169150.905628
2029,189650.771222,159554.230415
2030,191325.851417,160221.561715
2031,182897.085523,150498.14391
