year,Base case diesel consumed,Modeled non-residential ashp
2017,3160066.38468,2725164.77183
2018,3181333.4707,2746431.85785
2019,3201081.47915,2766179.8663
2020,3217791.33246,2782889.7196
2021,3231463.03061,2796561.41776
2022,3245134.72877,2810233.11592
2023,3255768.27178,2820866.65893
2024,3264882.73722,2829981.12437
2025,3270959.04751,2836057.43466
2026,3277035.35781,2842133.74495
2027,3280073.51295,2845171.9001
2028,3281592.59052,2846690.97767
2029,3283111.6681,2848210.05525
2030,3283111.6681,2848210.05525
2031,3281592.59052,2846690.97767
