year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,2879.7030047,2879.7030047
2018,3243.1092748,3243.1092748
2019,3617.62585915,3617.62585915
2020,4001.92055981,4001.92055981
2021,4396.01070616,4396.01070616
2022,4801.67689451,4801.67689451
2023,5218.69167641,5218.69167641
2024,5646.65214321,5646.65214321
2025,6083.5784105,6083.5784105
2026,6525.27459628,6525.27459628
2027,6973.66209825,6973.66209825
2028,7428.45931359,7428.45931359
2029,7895.73803227,7895.73803227
2030,8369.94851263,8369.94851263
2031,8851.05609584,8851.05609584
