year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,165810.25,2879.7,122137.57,101031.6
2018,168118.52,3243.11,122137.57,103512.7
2019,170426.78,3617.63,122137.57,106820.83
2020,172811.98,4001.92,122137.57,110128.95
2021,175274.13,4396.01,122137.57,113437.08
2022,177813.22,4801.68,122137.57,116745.21
2023,180429.25,5218.69,122137.57,120880.37
2024,183045.28,5646.65,122137.57,124188.49
2025,185815.2,6083.58,122137.57,128323.65
2026,188585.12,6525.27,122137.57,131631.78
2027,191355.03,6973.66,122137.57,135766.94
2028,194201.89,7428.46,122137.57,139075.07
2029,197125.69,7895.74,122137.57,143210.23
2030,200049.49,8369.95,122137.57,147345.39
2031,203050.23,8851.06,122137.57,151480.54
2032,206050.98,9336.09,122137.57,155615.7
2033,209128.66,9828.68,122137.57,159750.86
2034,212283.29,10329.33,122137.57,163886.02
2035,215437.91,10839.88,122137.57,168021.18
2036,218669.48,11361.6,122137.57,172983.37
2037,221977.99,11894.18,122137.57,177118.53
2038,225363.45,12435.87,122137.57,182080.72
2039,228825.84,12985.17,122137.57,186215.88
2040,232288.24,13542.31,122137.57,191178.07
