year,Base case cost,Modeled solar power
2020,1083531.13898,1090023.40602
2021,1134023.63066,1139608.5946
2022,1177123.5242,1181954.99373
2023,1214288.87264,1218490.41472
2024,1246538.38952,1250204.24118
2025,1283983.03782,1287074.1299
2026,1325753.37167,1328231.59983
2027,1364361.3847,1366292.79465
2028,1402137.6535,1403561.15853
2029,1444931.31744,1445808.76654
2030,1480366.23777,1480811.53811
2031,1526937.75941,1526837.26753
2032,1574229.45922,1573596.19857
2033,1624929.6946,1623751.83273
2034,1677037.97063,1675328.39
2035,1719194.55388,1717086.84369
2036,1773409.50494,1770794.08846
2037,1817999.7672,1815007.80331
2038,1875023.87478,1871547.23806
2039,1926713.58572,1922834.19832
