year,Base case diesel consumed,Modeled wind power
2019,170426.778412,122684.729913
2020,172811.983889,125069.93539
2021,175274.131478,127532.082979
2022,177813.221179,130071.17268
2023,180429.252992,132687.204493
2024,183045.284805,135303.236306
2025,185815.200842,138073.152343
2026,188585.11688,140843.068381
2027,191355.032917,143612.984418
2028,194201.891067,146459.842568
2029,197125.691329,149383.642829
2030,200049.49159,152307.443091
2031,203050.233964,155308.185465
2032,206050.976338,158308.927839
2033,209128.660824,161386.612325
2034,212283.287422,164541.238923
2035,215437.91402,167695.865521
2036,218669.482731,170927.434231
2037,221977.993553,174235.945054
2038,225363.446488,177621.397988
