year,Base case cost,Modeled wind power
2019,1020856.40269,1153953.58433
2020,1083531.13898,1197854.86883
2021,1134023.63066,1232991.03243
2022,1177123.5242,1262931.4588
2023,1214288.87264,1288724.82406
2024,1246538.38952,1310980.55822
2025,1283983.03782,1337778.85115
2026,1325753.37167,1368246.5487
2027,1364361.3847,1396513.60393
2028,1402137.6535,1424501.66185
2029,1444931.31744,1456840.22263
2030,1480366.23777,1483582.14615
2031,1526937.75941,1519570.92696
2032,1574229.45922,1556413.90152
2033,1624929.6946,1596390.89109
2034,1677037.97063,1637903.72854
2035,1719194.55388,1671616.66088
2036,1773409.50494,1715482.87155
2037,1817999.7672,1751870.39913
2038,1875023.87478,1798781.03607
