year,Base case diesel consumed,Modeled solar power
2020,172811.983889,170082.79737
2021,175274.131478,172566.778451
2022,177813.221179,175127.526976
2023,180429.252992,177765.044342
2024,183045.284805,180402.389825
2025,185815.200842,183193.449022
2026,188585.11688,185984.339074
2027,191355.032917,188775.061334
2028,194201.891067,191642.559256
2029,197125.691329,194586.834172
2030,200049.49159,197530.945291
2031,203050.233964,200551.836035
2032,206050.976338,203572.565593
2033,209128.660824,206670.077365
2034,212283.287422,209844.37263
2035,215437.91402,213018.510547
2036,218669.482731,216269.434485
2037,221977.993553,219597.145693
2038,225363.446488,223001.645411
2039,228825.841534,226482.934866
