year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,146483.68,7612.88,105687.2,56191.58
2018,146587.5,7618.04,105687.2,56191.58
2019,146691.31,7627.35,105687.2,56821.59
2020,146795.13,7630.69,105687.2,57451.59
2021,146795.13,7628.99,105687.2,56821.59
2022,146795.13,7631.74,105687.2,57451.59
2023,146795.13,7634.38,105687.2,57451.59
2024,146898.94,7636.37,105687.2,57451.59
2025,146898.94,7637.92,105687.2,57451.59
2026,146898.94,7637.78,105687.2,57451.59
2027,147002.76,7644.92,105687.2,58081.6
2028,147002.76,7644.08,105687.2,58081.6
2029,147002.76,7645.71,105687.2,58081.6
2030,147002.76,7644.47,105687.2,58081.6
2031,147002.76,7644.07,105687.2,58081.6
2032,147002.76,,,58081.6
2033,146898.94,,,57451.59
2034,146898.94,,,57451.59
2035,146691.31,,,56821.59
2036,146795.13,,,56821.59
