year,Base case cost,Modeled biomass for heat (cordwood)
2017,193278.248792,240052.829688
2018,216431.208792,256072.242481
2019,248266.528792,278537.296444
2020,263460.658792,288722.809529
2021,273590.078792,295187.998489
2022,282272.438792,300607.226627
2023,287337.148792,303374.967294
2024,292401.858792,306165.610498
2025,297466.568792,308978.619458
2026,303978.338792,312883.445842
2027,309766.578792,316274.613946
2028,314831.288792,319151.623854
2029,321343.058792,323118.951162
2030,324960.708792,324966.191523
2031,332196.008792,329507.770751
2032,,
2033,,
2034,,
2035,,
2036,,
