year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5261.63347968,3420.06176179
2018,5264.3402278,3421.82114807
2019,5266.93846847,3423.51000451
2020,5269.41227647,3425.1179797
2021,5271.69201267,3426.59980824
2022,5273.81951454,3427.98268445
2023,5275.63148105,3429.16046268
2024,5277.13142115,3430.13542375
2025,5278.498831,3431.02424015
2026,5279.51183715,3431.68269415
2027,5280.18096645,3432.11762819
2028,5280.4638416,3432.30149704
2029,5280.56964987,3432.37027241
2030,5280.38232606,3432.24851194
2031,5279.94748648,3431.96586621
