year,Base case cost,Kivalina wind-intertie feasibility analysis & conceptual design,Modeled wind power
2019,337340.678706,1887141.70349,499661.810921
2020,357774.545132,1862828.36123,509248.978014
2021,371863.847579,1836299.29368,514550.56115
2022,382623.258918,1809130.18641,517746.507645
2023,392361.110667,1782664.12179,520587.810413
2024,399249.075808,1755054.53455,521243.510595
2025,407162.760948,1728739.35852,522754.678927
2026,416465.985421,1703591.73481,525205.303275
2027,423784.114251,1678113.20058,526327.586411
2028,429449.337484,1652146.07106,526174.002848
2029,437439.0926,1628231.72431,527887.687006
2030,443116.190702,1604083.59691,528215.777904
2031,453164.632009,1583057.22287,531898.792238
2032,462543.45819,1561989.7151,535002.883472
2033,472298.750018,1541912.42365,538572.006685
2034,482347.659593,1522254.82864,542243.916321
2035,488377.005338,1501056.14407,543090.014147
2036,498808.552128,1482938.10556,547311.50843
2037,503836.864145,1462341.48071,547596.929341
2038,513893.48818,1444951.84411,551602.714415
