year,Base case diesel consumed,Modeled diesel efficiency
2019,98637.6253526,89670.5685023
2020,98560.4807528,89600.437048
2021,98637.6253526,89670.5685023
2022,98869.0591521,89880.9628655
2023,99331.926751,90301.7515919
2024,99563.3605505,90512.145955
2025,99794.79435,90722.5403182
2026,99871.9389498,90792.6717726
2027,99949.0835497,90862.803227
2028,99871.9389498,90792.6717726
2029,99871.9389498,90792.6717726
2030,100026.228149,90932.9346814
2031,100257.661949,91143.3290445
2032,100334.806549,91213.4604989
2033,100489.095748,91353.7234077
2034,100489.095748,91353.7234077
2035,100489.095748,91353.7234077
2036,100566.240348,91423.8548621
2037,100566.240348,91423.8548621
2038,100566.240348,91423.8548621
