year,Base case cost,Modeled diesel efficiency
2019,337340.678706,508226.048216
2020,357774.545132,522078.39894
2021,371863.847579,530273.680356
2022,382623.258918,535549.909338
2023,392361.110667,540003.0352
2024,399249.075808,541968.467316
2025,407162.760948,544967.067989
2026,416465.985421,549327.222147
2027,423784.114251,551978.77485
2028,429449.337484,553221.466164
2029,437439.0926,556668.950861
2030,443116.190702,558103.455718
2031,453164.632009,563599.248809
2032,462543.45819,568571.593513
2033,472298.750018,573969.473213
2034,482347.659593,579715.619697
2035,488377.005338,581887.052077
2036,498808.552128,588138.058719
2037,503836.864145,589552.788756
2038,513893.48818,595612.691227
