year,Base case cost,Mountain village wind feasibility and conceptual design,Modeled wind power
2019,615991.997091,915323.58914,827814.611846
2020,657518.651729,938277.205134,848825.603475
2021,688152.961178,953385.593268,862805.693584
2022,710374.281523,962555.615178,871495.164052
2023,728544.524181,969009.210347,877782.290214
2024,744620.1132,974130.535449,882884.626146
2025,763371.066398,981549.858249,890098.753148
2026,784607.22667,991072.563191,899230.504118
2027,803742.150944,999243.037926,907158.850317
2028,820729.762689,1006010.95416,913833.891111
2029,842827.480917,1016926.80148,924305.315256
2030,858324.553516,1023113.73479,930532.049664
2031,883481.606997,1036855.27412,943628.502837
2032,906509.632288,1049196.50514,955475.5136
2033,929773.159837,1061930.58957,967699.550666
2034,955991.436233,1077205.4937,982281.878444
2035,975431.343246,1087554.86722,992424.800211
2036,1002461.4442,1103938.20224,1008085.72485
2037,1022321.89096,1114997.77018,1018909.70625
2038,1050188.68318,1132500.66234,1035661.73607
