year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,384131.0,341139.104038
2018,389630.0,346638.104038
2019,395132.0,352140.104038
2020,401723.0,358731.104038
2021,407226.0,364234.104038
2022,413820.0,370828.104038
2023,420415.0,377423.104038
2024,427011.0,384019.104038
2025,433609.0,390617.104038
2026,440209.0,397217.104038
2027,446808.0,403816.104038
2028,453409.0,410417.104038
2029,461101.0,418109.104038
2030,467705.0,424713.104038
2031,475399.0,432407.104038
2032,483094.0,440102.104038
2033,490789.0,447797.104038
2034,498487.0,455495.104038
2035,506186.0,463194.104038
2036,513888.0,470896.104038
