year,Base case diesel consumed,Modeled solar power
2020,221386.751424,217890.432916
2021,222703.223682,219234.875723
2022,224092.833288,220652.232112
2023,225555.580242,222142.503875
2024,227018.327195,223632.55544
2025,228554.211496,225195.525915
2026,230090.095798,226758.279701
2027,231625.980099,228320.818531
2028,233161.8644,229883.144125
2029,234770.886049,231518.395536
2030,236453.045046,233226.574457
2031,238135.204042,234934.545218
2032,239817.363039,236642.309485
2033,241499.522036,238349.86891
2034,243254.81838,240130.36248
2035,245083.252072,241983.791819
2036,246911.685764,243837.021193
2037,248740.119456,245690.052201
2038,250641.690495,247616.023779
2039,252616.398883,249614.9375
