year,Base case cost,Modeled biomass for heat (cordwood)
2017,1686393.51172,1844532.8936
2018,1811838.75805,1956352.03541
2019,1975720.09484,2102795.37701
2020,2076969.00725,2194400.87061
2021,2154287.47419,2264280.23533
2022,2222276.33706,2326603.11107
2023,2282917.39008,2382490.20165
2024,2340085.22325,2435384.95498
2025,2402259.80673,2492906.30884
2026,2469639.44051,2555251.39676
2027,2533469.31414,2614524.10707
2028,2593568.43807,2670542.33781
2029,2669844.91793,2741923.35136
2030,2726791.28232,2795308.21024
2031,2809680.39248,2872959.30694
2032,2888975.5928,2947488.56887
2033,2969348.09312,3023136.29892
2034,3055801.12389,3104474.84369
2035,3128306.46482,3173194.71644
2036,3217017.0362,3256868.40355
