year,Base case cost,Modeled solar power
2020,657518.651729,678998.944276
2021,688152.961178,708622.165016
2022,710374.281523,729992.131614
2023,728544.524181,747398.736849
2024,744620.1132,762762.490786
2025,763371.066398,780785.02929
2026,784607.22667,801276.62105
2027,803742.150944,819717.347716
2028,820729.762689,836059.963464
2029,842827.480917,857463.164313
2030,858324.553516,872378.735894
2031,883481.606997,896840.583885
2032,906509.632288,919221.199253
2033,929773.159837,941852.511464
2034,955991.436233,967422.193704
2035,975431.343246,986321.534445
2036,1002461.4442,1012732.06506
2037,1022321.89096,1032078.85961
2038,1050188.68318,1059353.87502
2039,1073619.69525,1082266.95486
