year,Base case diesel consumed,Mountain village wind feasibility and conceptual design,Modeled wind power
2019,219997.141818,153354.287592,133737.726069
2020,221386.751424,154743.897198,135127.335675
2021,222703.223682,156060.369456,136443.807933
2022,224092.833288,157449.979062,137833.417539
2023,225555.580242,158912.726016,139296.164492
2024,227018.327195,160375.472969,140758.911446
2025,228554.211496,161911.357271,142294.795747
2026,230090.095798,163447.241572,143830.680048
2027,231625.980099,164983.125873,145366.56435
2028,233161.8644,166519.010174,146902.448651
2029,234770.886049,168128.031823,148511.4703
2030,236453.045046,169810.19082,150193.629296
2031,238135.204042,171492.349817,151875.788293
2032,239817.363039,173174.508813,153557.94729
2033,241499.522036,174856.66781,155240.106286
2034,243254.81838,176611.964154,156995.402631
2035,245083.252072,178440.397846,158823.836323
2036,246911.685764,180268.831538,160652.270015
2037,248740.119456,182097.26523,162480.703706
2038,250641.690495,183998.83627,164382.274746
