year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,10278.5499885,6681.05749249
2018,10340.2907296,6721.18897426
2019,10403.4104872,6762.21681666
2020,10467.5648444,6803.91714886
2021,10532.9500324,6846.41752108
2022,10599.9952226,6889.99689467
2023,10668.7840897,6934.7096583
2024,10739.1951702,6980.47686066
2025,10810.8613743,7027.05989331
2026,10883.6801327,7074.39208626
2027,10957.4786972,7122.36115318
2028,11032.3974257,7171.0583267
2029,11109.5888725,7221.23276713
2030,11188.0840283,7272.25461838
2031,11267.8909906,7324.12914388
