year,Base case cost,Crooked creek (getmuna creek tributary)
2021,93614.6532146,1311775.61586
2022,96368.0253679,1311908.31057
2023,98120.1712837,1311992.75266
2024,99956.3126892,1312399.43364
2025,101714.338289,1312489.75542
2026,104322.398245,1312953.62474
2027,106086.30353,1313049.8262
2028,107598.222345,1313132.2846
2029,109979.494479,1313607.6095
2030,111243.626599,1313680.52461
2031,113896.204165,1314188.91154
2032,116179.201576,1314327.71832
2033,118854.457924,1314858.78403
2034,121399.521263,1315021.41334
2035,122926.559266,1315118.99092
2036,125630.37408,1315678.6151
2037,127162.451813,1315781.23241
2038,130142.611789,1316378.95835
2039,131935.915494,1316504.55823
2040,135195.780451,1317143.74575
2041,135195.780451,1317143.74575
2042,135637.596727,1317585.56203
2043,135637.596727,1317585.56203
2044,136079.413003,1318027.3783
2045,136079.413003,1318027.3783
2046,136521.229279,1318469.19458
2047,136963.045555,1318911.01085
2048,136963.045555,1318911.01085
2049,137404.861831,1319352.82713
2050,137404.861831,1319352.82713
