year,Base case diesel consumed,Crooked creek (getmuna creek tributary)
2021,25030.6559397,0.0
2022,25030.6559397,0.0
2023,25030.6559397,0.0
2024,25114.6514295,83.9954897306
2025,25114.6514295,83.9954897306
2026,25198.6469192,167.990979461
2027,25198.6469192,167.990979461
2028,25198.6469192,167.990979461
2029,25282.6424089,251.986469192
2030,25282.6424089,251.986469192
2031,25366.6378986,335.981958922
2032,25366.6378986,335.981958922
2033,25450.6333884,419.977448653
2034,25450.6333884,419.977448653
2035,25450.6333884,419.977448653
2036,25534.6288781,503.972938384
2037,25534.6288781,503.972938384
2038,25618.6243678,587.968428114
2039,25618.6243678,587.968428114
2040,25702.6198576,671.963917845
2041,25702.6198576,671.963917845
2042,25786.6153473,755.959407575
2043,25786.6153473,755.959407575
2044,25870.610837,839.954897306
2045,25870.610837,839.954897306
2046,25954.6063268,923.950387037
2047,26038.6018165,1007.94587677
2048,26038.6018165,1007.94587677
2049,26122.5973062,1091.9413665
2050,26122.5973062,1091.9413665
