year,Base case cost,Modeled biomass for heat (cordwood)
2017,164352.253654,186876.083836
2018,175195.773654,194893.927183
2019,189766.753654,205667.90418
2020,196543.953654,210679.056271
2021,201287.993654,214186.862736
2022,205015.453654,216942.996386
2023,207387.473654,218696.899618
2024,209420.633654,220200.245246
2025,211792.653654,221954.148478
2026,214842.393654,224209.166919
2027,217214.413654,225963.070151
2028,219247.573654,227466.415779
2029,221958.453654,229470.876615
2030,223652.753654,230723.664638
2031,226702.493654,232978.683079
2032,,
2033,,
2034,,
2035,,
2036,,
