year,Base case diesel consumed,Burro creek hydro feasibility study
2021,29181.5127621,0.0
2022,30327.4549315,1145.94216938
2023,31345.4804688,2163.96770664
2024,32623.8093108,3442.29654869
2025,33721.9995304,4540.48676829
2026,35050.4822499,5868.96948779
2027,36310.1038253,7128.59106315
2028,37637.35259,8455.8398279
2029,39262.543038,10081.0302759
2030,41035.8780254,11854.3652633
2031,42808.1039454,13626.5911832
2032,44802.5185286,15621.0057665
2033,46575.3140805,17393.8013184
2034,48495.6557105,19314.1429484
2035,50711.5790603,21530.0662982
2036,53075.2016106,23893.6888485
2037,55660.3874754,26478.8747132
2038,58393.3251401,29211.8123779
2039,61273.9799281,32092.467166
2040,64154.6319238,34973.1191617
2041,67478.4663729,38296.9536108
2042,70950.0244536,41768.5116915
2043,74569.3083351,45387.795573
2044,78336.3189187,49154.8061566
2045,82324.9178254,53143.4050633
2046,86682.8315272,57501.3187651
2047,91410.0600775,62228.5473153
2048,95915.6996869,66734.1869248
2049,101307.694665,72126.1819031
2050,106995.141439,77813.6286768
