year,Base case cost,Burro creek hydro feasibility study
2021,82875.4962444,642708.621009
2022,89162.7174986,642216.118485
2023,94036.4414063,643022.008126
2024,99828.8564911,644746.588944
2025,105212.638535,646062.53672
2026,112161.5432,647587.662362
2027,118734.039509,649414.352027
2028,124956.010599,652246.461228
2029,133492.646329,655359.317935
2030,141163.420408,660318.202502
2031,151112.606927,664165.637621
2032,161737.091888,669366.34356
2033,171862.908957,674068.381606
2034,183313.578586,679417.299834
2035,194732.463592,686768.350573
2036,208585.54233,694519.677911
2037,221528.342152,704072.615844
2038,237660.83332,714103.355611
2039,253674.276902,725370.992549
2040,272015.639357,736932.631225
2041,286108.697421,751025.689289
2042,300828.103683,765745.095551
2043,316173.867341,781090.859209
2044,332145.992215,797062.984083
2045,349057.65158,813974.643448
2046,367535.205676,832452.197544
2047,387578.654728,852495.646596
2048,406682.566673,871599.558541
2049,429544.62538,894461.617248
2050,453659.399701,918576.391569
