year,Base case cost,Modeled residential energy efficiency
2017,620758.409347,589141.044742
2018,653675.91578,616967.697783
2019,698114.549466,654901.413376
2020,718687.990987,671969.417053
2021,732677.931222,683297.155087
2022,743376.120813,691765.24961
2023,750782.55976,697373.196849
2024,756543.123386,701561.073836
2025,763949.562334,707209.538132
2026,772178.938943,713597.836055
2027,779585.37789,719284.94043
2028,785345.941516,723550.119307
2029,793575.318125,729994.358228
2030,798512.94409,733575.238981
2031,806742.320698,740054.620847
2032,815794.634967,747271.243388
2033,824846.949237,754504.424682
2034,833899.263506,761753.776636
2035,839659.827132,766137.782251
2036,848712.141401,773418.347415
