year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,65635.97,598629.15,390666.83,78980.23,348384.44,230091.58
2018,69486.41,633818.3,412452.45,82784.6,365239.36,241223.46
2019,74691.55,681323.65,441863.04,87935.82,387993.5,256251.5
2020,77091.03,703316.86,455479.06,90299.05,398527.83,263208.93
2021,78723.23,718272.25,464737.95,91907.36,405691.17,267939.98
2022,79987.85,729708.73,471818.28,93171.64,411169.02,271557.84
2023,80868.38,737626.28,476720.04,94057.33,414961.37,274062.52
2024,81554.84,743784.39,480532.53,94749.47,417910.98,276010.6
2025,82428.03,751701.94,485434.29,95619.76,421703.34,278515.27
2026,83389.58,760499.23,490880.7,96568.73,425917.07,281298.24
2027,84253.78,768416.79,495782.46,97420.36,429709.43,283802.91
2028,84921.93,774574.89,499594.95,98074.47,432659.04,285750.99
2029,85892.48,783372.18,505041.35,99042.12,436872.77,288533.97
2030,86467.95,788650.55,508309.2,99608.54,439401.0,290203.75
2031,87441.84,797447.84,513755.6,100583.02,443614.73,292986.72
2032,,,519746.65,,,296047.99
2033,,,525737.7,,,299109.25
2034,,,531728.74,,,302170.52
2035,,,535541.23,,,304118.6
2036,,,541532.27,,,307179.87
