year,Base case cost,Modeled biomass for heat (cordwood)
2017,598630.021871,619105.6512
2018,633819.221871,644160.899513
2019,681324.641871,678396.341082
2020,703317.891871,693694.263434
2021,718273.301871,703785.687316
2022,729709.791871,711285.581304
2023,737627.361871,716193.382549
2024,743785.471871,719816.313861
2025,751703.041871,724769.3834
2026,760500.341871,730398.180731
2027,768417.911871,735394.42148
2028,774576.021871,739103.719496
2029,783373.321871,744795.01775
2030,788651.701871,747890.635852
2031,797449.001871,753621.198092
2032,,
2033,,
2034,,
2035,,
2036,,
