year,Base case diesel consumed,Modeled solar power
2020,74720.8846171,73500.5160048
2021,75014.7720689,73804.1664055
2022,75308.6595207,74107.7387026
2023,75602.5469725,74411.233521
2024,75896.4344243,74714.6514804
2025,76190.3218761,75017.9931957
2026,76557.6811908,75394.7311399
2027,76925.0405055,75771.394055
2028,77365.8716832,76221.4544043
2029,77733.2309979,76597.9690573
2030,78100.5903127,76974.4104675
2031,78467.9496274,77350.779221
2032,78908.7808051,77800.547762
2033,79276.1401198,78176.772941
2034,79716.9712975,78626.3990561
2035,80084.3306122,79002.4829488
2036,80451.689927,79378.4970449
2037,80819.0492417,79754.4419027
2038,81186.4085564,80130.3180761
2039,81553.7678712,80506.1261147
