year,Base case cost,Modeled residential energy efficiency
2017,558753.387959,558257.388036
2018,595689.767161,594148.222978
2019,644873.118822,642019.147174
2020,672640.199029,669012.379241
2021,685817.532408,681569.753807
2022,704824.159931,700036.897787
2023,720907.356593,715660.916609
2024,736363.014472,730682.606444
2025,752790.607574,746664.659382
2026,770219.655596,763636.437194
2027,787011.324936,779995.572268
2028,803136.0959,795712.394306
2029,821126.018126,813263.875553
2030,835857.952948,827636.594346
2031,855075.647753,846409.366866
2032,874509.820322,865404.324441
2033,895053.686691,885496.23924
2034,914930.654683,904945.008666
2035,932285.412937,921931.813995
2036,953488.552493,942698.950961
