year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.8
2003,,1.81,
2004,,2.04,3.0
2005,,2.49,4.5
2006,,3.42,
2008,,3.58,5.75
2009,,4.12,7.0
2010,,2.63,4.25
2011,,3.06,5.5
2012,,4.08,6.5
2013,,4.09,7.0
2014,,,7.0
2016,,2.76,4.31
2017,,3.29,4.84
2018,,3.68,5.23
2019,,4.22,5.77
2020,,4.47,6.02
2021,,4.64,6.19
2022,,4.77,6.32
2023,,4.86,6.41
2024,,4.94,6.49
2025,,5.03,6.58
2026,,5.13,6.68
2027,,5.22,6.77
2028,,5.3,6.85
2029,,5.4,6.95
2030,,5.46,7.01
2031,,5.57,7.12
2032,,5.68,7.23
2033,,5.8,7.35
2034,,5.91,7.46
2035,,5.99,7.54
2036,,6.11,7.66
2037,,6.18,7.73
2038,,6.3,7.85
2039,,6.39,7.94
2040,,6.52,8.07
