year,Base case cost,Modeled water and wastewater efficiency
2017,82630.3878923,55854.0146238
2018,88042.4676168,57020.6385342
2019,95526.1501032,58882.8817025
2020,99030.8926369,59452.0032539
2021,101439.815731,59674.9477758
2022,103302.962905,59732.1740362
2023,104606.921064,59618.1841488
2024,105779.239924,59474.0656298
2025,107097.41015,59390.8364385
2026,108574.445945,59373.233232
2027,109911.584768,59321.4108973
2028,111112.080279,59236.3578216
2029,112593.360995,59255.2139732
2030,113524.785851,59104.5294278
2031,115146.767449,59191.6593378
