year,annotation,diesel generation efficiency
2002,,12.12
2003,,11.9
2004,,12.05
2005,,13.55
2006,,13.48
2007,,13.39
2008,,13.51
2009,,13.48
2010,,13.6
2011,,13.74
2012,,13.71
2013,,13.38
2014,start of forecast,13.61
2015,,13.61
2016,,13.61
2017,,13.61
2018,,13.61
2019,,13.61
2020,,13.61
2021,,13.61
2022,,13.61
2023,,13.61
2024,,13.61
2025,,13.61
2026,,13.61
2027,,13.61
2028,,13.61
2029,,13.61
2030,,13.61
2031,,13.61
2032,,13.61
2033,,13.61
2034,,13.61
2035,,13.61
2036,,13.61
2037,,13.61
2038,,13.61
2039,,13.61
2040,,13.61
