year,Base case cost,Modeled solar power
2020,334002.354238,339333.682547
2021,348068.5424,353009.284191
2022,359222.305914,363828.861593
2023,367428.378286,371755.831096
2024,374928.386056,378995.070427
2025,383237.319037,387037.699907
2026,392740.904509,396269.594203
2027,401548.711439,404823.541051
2028,410039.119921,413077.511091
2029,419759.447389,422544.36174
2030,426429.223107,429011.615469
2031,437066.479425,439395.553981
2032,448201.874973,450283.475324
2033,459801.612695,461630.467737
2034,471127.300368,472720.095842
2035,479705.140367,481099.819202
2036,491559.825454,492718.31471
2037,499461.724314,500442.691193
2038,511474.373906,512229.488301
2039,521128.576697,521694.488976
