year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,107332.0,89607.813471
2018,107878.0,90153.813471
2019,108423.0,90698.813471
2020,108970.0,91245.813471
2021,108973.0,91248.813471
2022,109519.0,91794.813471
2023,110066.0,92341.813471
2024,110612.0,92887.813471
2025,111159.0,93434.813471
2026,111706.0,93981.813471
2027,112253.0,94528.813471
2028,112800.0,95075.813471
2029,113348.0,95623.813471
2030,113895.0,96170.813471
2031,114442.0,96717.813471
2032,114990.0,97265.813471
2033,115537.0,97812.813471
2034,116084.0,98359.813471
2035,116632.0,98907.813471
2036,117180.0,99455.813471
