year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,837221.0,489089.0,348132.0
2004,,845243.0,478425.0,366818.0
2005,,892558.0,499391.0,393167.0
2006,,979948.0,502284.0,477664.0
2007,,923963.0,481457.0,442506.0
2008,,886113.0,467536.0,418577.0
2009,,919012.0,475952.0,443060.0
2010,,963593.0,530201.0,433392.0
2011,,992075.0,539035.0,453040.0
2012,,1011463.0,571625.0,439838.0
2013,,963338.0,557783.0,405555.0
2014,start of forecast,959192.0,526381.0,432811.0
2015,,961195.0,528384.0,432811.0
2016,,964331.0,531520.0,432811.0
2017,,967301.0,534490.0,432811.0
2018,,970680.0,537869.0,432811.0
2019,,974151.0,541340.0,432811.0
2020,,977940.0,545129.0,432811.0
2021,,981851.0,549040.0,432811.0
2022,,985912.0,553101.0,432811.0
2023,,989431.0,556620.0,432811.0
2024,,993224.0,560413.0,432811.0
2025,,997362.0,564551.0,432811.0
2026,,1002522.0,569711.0,432811.0
2027,,1007475.0,574664.0,432811.0
2028,,1012418.0,579607.0,432811.0
2029,,1017454.0,584643.0,432811.0
2030,,1022630.0,589819.0,432811.0
2031,,1027549.0,594738.0,432811.0
2032,,1032740.0,599929.0,432811.0
2033,,1037962.0,605151.0,432811.0
2034,,1043264.0,610453.0,432811.0
2035,,1048291.0,615480.0,432811.0
2036,,1053257.0,620446.0,432811.0
2037,,1058429.0,625618.0,432811.0
2038,,1062957.0,630146.0,432811.0
2039,,1067640.0,634829.0,432811.0
2040,,1072031.0,639220.0,432811.0
