year,Base case cost,Modeled non-residential energy efficiency
2017,579029.857486,579931.37036
2018,619270.312558,615063.021039
2019,674987.865733,664336.54928
2020,700783.029241,686374.361032
2021,718323.740426,700923.621042
2022,731737.225449,711745.043273
2023,741023.484312,718837.838237
2024,749277.936634,725022.376746
2025,758564.195497,732178.667103
2026,768882.2609,740305.974039
2027,778168.519762,747522.818313
2028,786422.972085,753828.498743
2029,796741.037488,762043.472338
2030,802931.876729,766524.786807
2031,814281.748672,775735.214477
