year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,68016.8303096,50332.4544291
2018,68016.8303096,50332.4544291
2019,68016.8303096,50332.4544291
2020,68016.8303096,50332.4544291
2021,68016.8303096,50332.4544291
2022,68016.8303096,50332.4544291
2023,68016.8303096,50332.4544291
2024,68016.8303096,50332.4544291
2025,68016.8303096,50332.4544291
2026,68016.8303096,50332.4544291
2027,68016.8303096,50332.4544291
2028,68016.8303096,50332.4544291
2029,68016.8303096,50332.4544291
2030,68016.8303096,50332.4544291
2031,68016.8303096,50332.4544291
