year,Base case diesel consumed,Modeled non-residential ashp
2017,34541.979031,24179.385301
2018,34541.979031,24179.385301
2019,34541.979031,24179.385301
2020,34541.979031,24179.385301
2021,34541.979031,24179.385301
2022,34541.979031,24179.385301
2023,34541.979031,24179.385301
2024,34541.979031,24179.385301
2025,34541.979031,24179.385301
2026,34541.979031,24179.385301
2027,34541.979031,24179.385301
2028,34541.979031,24179.385301
2029,34541.979031,24179.385301
2030,34541.979031,24179.385301
2031,34541.979031,24179.385301
