year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,40435.93,6192.64,34541.98,21684.05
2018,40547.26,6191.77,34541.98,21684.05
2019,40540.59,6191.1,34541.98,21684.05
2020,40537.62,6190.31,34541.98,21684.05
2021,40541.82,6189.28,34541.98,21684.05
2022,40629.1,6187.83,34541.98,21684.05
2023,40628.9,6185.93,34541.98,20609.96
2024,40629.64,6184.28,34541.98,20609.96
2025,40718.3,6182.89,34541.98,20609.96
2026,40718.34,6181.87,34541.98,20609.96
2027,40718.45,6180.65,34541.98,19535.87
2028,40807.45,6179.3,34541.98,19535.87
2029,40718.38,6179.74,34541.98,19535.87
2030,40718.4,6179.74,34541.98,19535.87
2031,40807.47,6179.28,34541.98,19535.87
2032,40807.47,,,19535.87
2033,40807.48,,,19535.87
2034,40896.56,,,18461.77
2035,40896.56,,,18461.77
2036,40896.56,,,18461.77
