year,Base case cost,Modeled transmission and interties
2021,75487.5,
2022,78029.1666667,
2023,79546.6666667,
2024,81066.6666667,
2025,82567.5,
2026,84587.5,
2027,86355.0,
2028,87580.0,
2029,89341.6666667,
2030,90300.0,
2031,92557.5,
2032,94564.1666667,
2033,96500.0,
2034,98750.0,
2035,100250.0,
2036,102407.5,
2037,103653.333333,
2038,106145.0,
2039,107889.166667,
2040,110011.666667,
