year,Base case cost,Modeled biomass for heat (pellet)
2017,19106.0447759,22104.2897597
2018,20924.0847759,23346.2032231
2019,23456.3547759,25098.8936621
2020,24625.0947759,25880.1819652
2021,25469.1847759,26431.1131047
2022,26118.4847759,26844.2925921
2023,26572.9947759,27119.6923073
2024,26962.5747759,27349.9190961
2025,27417.0847759,27627.5804479
2026,27936.5247759,27952.6501731
2027,28391.0347759,28232.4683897
2028,28780.6147759,28467.0101212
2029,29235.1247759,28748.885284
2030,29559.7747759,28939.1185986
2031,30144.1447759,29315.5897257
2032,,
2033,,
2034,,
2035,,
2036,,
