year,Base case diesel consumed,Modeled residential energy efficiency
2017,29044.3937079,22109.425571
2018,29044.3937079,22109.425571
2019,29044.3937079,22109.425571
2020,29044.3937079,22109.425571
2021,29761.4042332,22826.4360962
2022,29761.4042332,22826.4360962
2023,29761.4042332,22826.4360962
2024,29761.4042332,22826.4360962
2025,29761.4042332,22826.4360962
2026,29761.4042332,22826.4360962
2027,30478.4147584,23543.4466214
2028,30478.4147584,23543.4466214
2029,30478.4147584,23543.4466214
2030,30478.4147584,23543.4466214
2031,31195.4252836,24260.4571467
