year,Base case diesel consumed,Modeled residential ashp
2017,7722.04319933,-16849.472257
2018,7722.04319933,-16849.472257
2019,7722.04319933,-16849.472257
2020,7722.04319933,-16849.472257
2021,7912.67504057,-16658.8404157
2022,7912.67504057,-16658.8404157
2023,7912.67504057,-16658.8404157
2024,7912.67504057,-16658.8404157
2025,7912.67504057,-16658.8404157
2026,7912.67504057,-16658.8404157
2027,8103.30688181,-16468.2085745
2028,8103.30688181,-16468.2085745
2029,8103.30688181,-16468.2085745
2030,8103.30688181,-16468.2085745
2031,8293.93872305,-16277.5767332
