year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8997.40493061,5848.3132049
2018,8992.96486482,5845.42716213
2019,8989.92713535,5843.45263797
2020,8986.37002205,5841.14051433
2021,8982.93609595,5838.90846237
2022,8980.28590671,5837.18583936
2023,8978.46007282,5835.99904733
2024,8976.40517734,5834.66336527
2025,8974.15051886,5833.19783726
2026,8970.57875628,5830.87619158
2027,8966.11538481,5827.97500012
2028,8961.75722185,5825.1421942
2029,8957.71002331,5822.51151515
2030,8953.48370394,5819.76440756
2031,8949.47046511,5817.15580232
