year,Base case cost,Modeled water and wastewater efficiency
2017,65527.0658317,52783.7892156
2018,70203.0726781,55731.8292934
2019,76519.4502559,59788.4845397
2020,79439.0729276,61563.4865185
2021,81422.0151553,62712.4420533
2022,82938.0739918,63551.122978
2023,83987.5396293,64079.5525481
2024,84919.3850277,64533.1395903
2025,85850.6907426,64990.6000642
2026,87130.0063623,65687.1633413
2027,88173.0948533,66229.1443967
2028,88982.2083919,66617.3873183
2029,90142.7124504,67245.8538429
2030,90834.7468187,67562.6432168
2031,92111.7807614,68276.8769063
