year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,49672.8,394753.95,229554.57,15854.26,145948.58,191083.84
2018,53245.48,423003.96,241172.32,16957.6,155933.87,204157.13
2019,58082.05,461141.48,256856.3,18437.4,169414.01,221806.06
2020,60305.66,478797.73,264117.4,19133.41,175654.82,229976.87
2021,61809.72,490803.99,275697.02,19612.3,179898.57,239271.63
2022,62958.92,499985.24,279566.01,19979.16,183143.79,243587.89
2023,63754.18,506341.5,282244.53,20233.36,185390.48,246576.07
2024,64457.7,511991.5,284625.45,20461.68,187387.54,249232.23
2025,65159.44,517641.5,287006.36,20691.25,189384.59,251888.39
2026,66120.27,525410.25,290280.11,21009.73,192130.55,255540.61
2027,66894.32,531766.51,300016.59,21278.77,194377.24,262568.3
2028,67489.13,536710.26,302150.07,21493.08,196124.67,264928.76
2029,68354.42,543772.76,305197.92,21788.29,198620.99,268300.83
2030,68859.38,548010.26,307026.62,21975.36,200118.78,270324.08
2031,69812.96,555779.02,317680.98,22298.82,202864.74,278249.26
