year,Base case cost,Modeled solar power (pv)
2016,159089.437411,162365.823804
2017,184673.99606,187379.170949
2018,203280.947804,205550.186627
2019,228400.332658,230126.167133
2020,240029.677498,241459.684138
2021,247937.631989,249142.8015
2022,253984.891306,255002.287803
2023,257691.582855,258557.404408
2024,261406.056121,262131.840051
2025,265120.529387,265709.673837
2026,270227.930129,270660.331004
2027,274406.712553,274701.493708
2028,277656.876661,277832.715977
2029,282299.968244,282336.985688
2030,284554.937117,284486.67679
2031,289652.82687,289444.517171
2032,294750.716623,294405.637336
2033,299385.161853,298913.908945
2034,304946.496129,304337.451787
2035,307615.625313,306908.317116
