year,Base case cost,Modeled biomass for heat (pellet)
2017,635965.206079,802391.912169
2018,710256.246079,855387.904223
2019,809310.966079,926049.226961
2020,858838.326079,961379.88833
2021,891856.566079,984933.662576
2022,919371.766079,1004561.80778
2023,935880.886079,1016338.6949
2024,949638.486079,1026152.76751
2025,968899.126079,1039892.46915
2026,990911.286079,1055594.98531
2027,1007420.40608,1067371.87244
2028,1023929.52608,1079148.75956
2029,1043190.16608,1092888.4612
2030,1054196.24608,1100739.71929
2031,1076208.40608,1116442.23545
2032,,
2033,,
2034,,
2035,,
2036,,
